run	Vout
2.020000000000000e+002	5.001393e+000
2.030000000000000e+002	4.995104e+000
2.040000000000000e+002	5.008260e+000
2.050000000000000e+002	4.967102e+000
2.060000000000000e+002	4.998919e+000
2.070000000000000e+002	4.957428e+000
2.080000000000000e+002	5.000587e+000
2.090000000000000e+002	5.028842e+000
2.100000000000000e+002	5.001712e+000
2.110000000000000e+002	4.994593e+000
2.120000000000000e+002	5.015336e+000
2.130000000000000e+002	4.985221e+000
2.140000000000000e+002	4.987164e+000
2.150000000000000e+002	5.021358e+000
2.160000000000000e+002	4.992092e+000
2.170000000000000e+002	4.983452e+000
2.180000000000000e+002	5.012982e+000
2.190000000000000e+002	5.022663e+000
2.200000000000000e+002	5.046714e+000
2.210000000000000e+002	5.009195e+000
2.220000000000000e+002	4.978227e+000
2.230000000000000e+002	5.008066e+000
2.240000000000000e+002	5.020802e+000
2.250000000000000e+002	5.028959e+000
2.260000000000000e+002	4.960456e+000
2.270000000000000e+002	4.992586e+000
2.280000000000000e+002	5.005533e+000
2.290000000000000e+002	5.007758e+000
2.300000000000000e+002	5.027383e+000
2.310000000000000e+002	5.002479e+000
2.320000000000000e+002	5.041923e+000
2.330000000000000e+002	5.003091e+000
2.340000000000000e+002	5.023412e+000
2.350000000000000e+002	4.955547e+000
2.360000000000000e+002	4.993473e+000
2.370000000000000e+002	4.982018e+000
2.380000000000000e+002	5.031445e+000
2.390000000000000e+002	5.016340e+000
2.400000000000000e+002	4.996844e+000
2.410000000000000e+002	5.014078e+000
2.420000000000000e+002	4.960210e+000
2.430000000000000e+002	4.977033e+000
2.440000000000000e+002	5.035148e+000
2.450000000000000e+002	5.040072e+000
2.460000000000000e+002	5.004695e+000
2.470000000000000e+002	5.012340e+000
2.480000000000000e+002	5.037436e+000
2.490000000000000e+002	5.014603e+000
2.500000000000000e+002	5.033971e+000
2.510000000000000e+002	5.010752e+000
2.520000000000000e+002	5.002937e+000
2.530000000000000e+002	5.023394e+000
2.540000000000000e+002	5.002664e+000
2.550000000000000e+002	5.029207e+000
2.560000000000000e+002	5.000558e+000
2.570000000000000e+002	4.977398e+000
2.580000000000000e+002	4.987219e+000
2.590000000000000e+002	5.024331e+000
2.600000000000000e+002	4.992625e+000
2.610000000000000e+002	4.979974e+000
2.620000000000000e+002	4.997897e+000
2.630000000000000e+002	5.007108e+000
2.640000000000000e+002	4.984221e+000
2.650000000000000e+002	4.970060e+000
2.660000000000000e+002	5.016043e+000
2.670000000000000e+002	4.973921e+000
2.680000000000000e+002	4.997898e+000
2.690000000000000e+002	4.990509e+000
2.700000000000000e+002	5.004639e+000
2.710000000000000e+002	5.012143e+000
2.720000000000000e+002	5.021909e+000
2.730000000000000e+002	4.980328e+000
2.740000000000000e+002	4.996357e+000
2.750000000000000e+002	5.029675e+000
2.760000000000000e+002	5.035492e+000
2.770000000000000e+002	4.993382e+000
2.780000000000000e+002	5.004045e+000
2.790000000000000e+002	5.011876e+000
2.800000000000000e+002	5.007396e+000
2.810000000000000e+002	4.990799e+000
2.820000000000000e+002	5.008328e+000
2.830000000000000e+002	5.000193e+000
2.840000000000000e+002	4.970300e+000
2.850000000000000e+002	5.009127e+000
2.860000000000000e+002	5.018991e+000
2.870000000000000e+002	4.999554e+000
2.880000000000000e+002	4.969958e+000
2.890000000000000e+002	5.003640e+000
2.900000000000000e+002	5.011467e+000
2.910000000000000e+002	5.007499e+000
2.920000000000000e+002	5.039896e+000
2.930000000000000e+002	5.015789e+000
2.940000000000000e+002	4.989194e+000
2.950000000000000e+002	4.970073e+000
2.960000000000000e+002	4.999809e+000
2.970000000000000e+002	5.016466e+000
2.980000000000000e+002	5.019502e+000
2.990000000000000e+002	5.012667e+000
3.000000000000000e+002	5.030473e+000
3.010000000000000e+002	4.973669e+000
3.020000000000000e+002	4.996097e+000
3.030000000000000e+002	4.994466e+000
3.040000000000000e+002	5.022433e+000
3.050000000000000e+002	5.046237e+000
3.060000000000000e+002	5.025187e+000
3.070000000000000e+002	4.990180e+000
3.080000000000000e+002	5.000641e+000
3.090000000000000e+002	5.000827e+000
3.100000000000000e+002	5.038044e+000
3.110000000000000e+002	4.994521e+000
3.120000000000000e+002	5.023674e+000
3.130000000000000e+002	5.005497e+000
3.140000000000000e+002	4.976104e+000
3.150000000000000e+002	5.003402e+000
3.160000000000000e+002	5.007602e+000
3.170000000000000e+002	4.997430e+000
3.180000000000000e+002	5.004945e+000
3.190000000000000e+002	5.018583e+000
3.200000000000000e+002	5.025568e+000
3.210000000000000e+002	4.976220e+000
3.220000000000000e+002	4.998886e+000
3.230000000000000e+002	5.029399e+000
3.240000000000000e+002	4.981261e+000
3.250000000000000e+002	5.021343e+000
3.260000000000000e+002	5.003911e+000
3.270000000000000e+002	5.016248e+000
3.280000000000000e+002	5.009798e+000
3.290000000000000e+002	4.985425e+000
3.300000000000000e+002	4.974115e+000
3.310000000000000e+002	4.983493e+000
3.320000000000000e+002	4.999940e+000
3.330000000000000e+002	5.012296e+000
3.340000000000000e+002	4.983544e+000
3.350000000000000e+002	5.012948e+000
3.360000000000000e+002	4.994503e+000
3.370000000000000e+002	4.980065e+000
3.380000000000000e+002	4.962344e+000
3.390000000000000e+002	4.995184e+000
3.400000000000000e+002	4.964481e+000
3.410000000000000e+002	5.018242e+000
3.420000000000000e+002	5.009188e+000
3.430000000000000e+002	5.035174e+000
3.440000000000000e+002	5.007741e+000
3.450000000000000e+002	5.002061e+000
3.460000000000000e+002	4.977796e+000
3.470000000000000e+002	4.982382e+000
3.480000000000000e+002	5.024082e+000
3.490000000000000e+002	4.969129e+000
3.500000000000000e+002	4.988375e+000
3.510000000000000e+002	5.036294e+000
3.520000000000000e+002	4.963458e+000
3.530000000000000e+002	5.013308e+000
3.540000000000000e+002	5.014420e+000
3.550000000000000e+002	5.026817e+000
3.560000000000000e+002	4.951021e+000
3.570000000000000e+002	5.002193e+000
3.580000000000000e+002	4.994860e+000
3.590000000000000e+002	5.020092e+000
3.600000000000000e+002	4.985942e+000
3.610000000000000e+002	5.020383e+000
3.620000000000000e+002	5.020312e+000
3.630000000000000e+002	4.998639e+000
3.640000000000000e+002	4.965622e+000
3.650000000000000e+002	5.037394e+000
3.660000000000000e+002	4.994715e+000
3.670000000000000e+002	5.017076e+000
3.680000000000000e+002	4.984966e+000
3.690000000000000e+002	5.000098e+000
3.700000000000000e+002	5.022809e+000
3.710000000000000e+002	4.981943e+000
3.720000000000000e+002	5.010878e+000
3.730000000000000e+002	5.001726e+000
3.740000000000000e+002	5.020689e+000
3.750000000000000e+002	5.008367e+000
3.760000000000000e+002	4.981228e+000
3.770000000000000e+002	5.024002e+000
3.780000000000000e+002	5.003437e+000
3.790000000000000e+002	4.999321e+000
3.800000000000000e+002	5.028523e+000
3.810000000000000e+002	5.005077e+000
3.820000000000000e+002	4.996868e+000
3.830000000000000e+002	5.001806e+000
3.840000000000000e+002	4.980556e+000
3.850000000000000e+002	4.983298e+000
3.860000000000000e+002	5.023410e+000
3.870000000000000e+002	4.987054e+000
3.880000000000000e+002	5.032943e+000
3.890000000000000e+002	4.964451e+000
3.900000000000000e+002	5.014870e+000
3.910000000000000e+002	5.006156e+000
3.920000000000000e+002	4.999434e+000
3.930000000000000e+002	5.014975e+000
3.940000000000000e+002	5.047995e+000
3.950000000000000e+002	4.970212e+000
3.960000000000000e+002	4.986242e+000
3.970000000000000e+002	4.979354e+000
3.980000000000000e+002	5.007495e+000
3.990000000000000e+002	5.006366e+000
4.000000000000000e+002	5.040222e+000
4.010000000000000e+002	5.024848e+000
4.020000000000000e+002	5.021539e+000
4.030000000000000e+002	4.987528e+000
4.040000000000000e+002	5.024053e+000
4.050000000000000e+002	5.006916e+000
4.060000000000000e+002	4.974651e+000
4.070000000000000e+002	4.988653e+000
4.080000000000000e+002	5.015336e+000
4.090000000000000e+002	5.014255e+000
4.100000000000000e+002	4.993335e+000
4.110000000000000e+002	5.016153e+000
4.120000000000000e+002	4.980078e+000
4.130000000000000e+002	4.986142e+000
4.140000000000000e+002	5.008185e+000
4.150000000000000e+002	5.015043e+000
4.160000000000000e+002	5.022870e+000
